id,total_count,hourly_count,time,conf,thresh,number_of_snaps,store_uid_id,date
,0,0,18,25,45,6,70144768,2021-02-27
,0,0,19,25,45,6,70144768,2021-02-27
,0,0,20,25,45,6,70144768,2021-02-27
,26,0,23,25,45,6,70144768,2021-02-27
,0,0,9,25,45,6,70144508,2021-02-27
,0,0,10,25,45,6,70144508,2021-02-27
,0,0,11,25,45,6,70144508,2021-02-27
,0,0,12,25,45,6,70144508,2021-02-27
,0,0,13,25,45,6,70144508,2021-02-27
,0,0,14,25,45,6,70144508,2021-02-27
,0,0,15,25,45,6,70144508,2021-02-27
,0,0,16,25,45,6,70144508,2021-02-27
,0,0,17,25,45,6,70144508,2021-02-27
,0,0,18,25,45,6,70144508,2021-02-27
,0,0,19,25,45,6,70144508,2021-02-27
,0,0,20,25,45,6,70144508,2021-02-27
,25,0,23,25,45,6,70144508,2021-02-27
,0,0,9,25,45,6,70144870,2021-02-27
,0,0,10,25,45,6,70144870,2021-02-27
,0,0,11,25,45,6,70144870,2021-02-27
,0,0,12,25,45,6,70144870,2021-02-27
,0,0,13,25,45,6,70144870,2021-02-27
,0,0,14,25,45,6,70144870,2021-02-27
,0,0,15,25,45,6,70144870,2021-02-27
,0,0,16,25,45,6,70144870,2021-02-27
,0,0,17,25,45,6,70144870,2021-02-27
,0,0,18,25,45,6,70144870,2021-02-27
,0,0,19,25,45,6,70144870,2021-02-27
,0,0,20,25,45,6,70144870,2021-02-27
,26,0,23,25,45,6,70144870,2021-02-27
,0,0,9,25,45,6,70144948,2021-02-27
,0,0,10,25,45,6,70144948,2021-02-27
,0,0,11,25,45,6,70144948,2021-02-27
,0,0,12,25,45,6,70144948,2021-02-27
,0,0,13,25,45,6,70144948,2021-02-27
,0,0,14,25,45,6,70144948,2021-02-27
,0,0,15,25,45,6,70144948,2021-02-27
,0,0,16,25,45,6,70144948,2021-02-27
,0,0,17,25,45,6,70144948,2021-02-27
,0,0,18,25,45,6,70144948,2021-02-27
,0,0,19,25,45,6,70144948,2021-02-27
,0,0,20,25,45,6,70144948,2021-02-27
,34,0,23,25,45,6,70144948,2021-02-27
,0,0,9,25,45,6,70144867,2021-02-27
,0,0,10,25,45,6,70144867,2021-02-27
,0,0,11,25,45,6,70144867,2021-02-27
,0,0,12,25,45,6,70144867,2021-02-27
,0,0,13,25,45,6,70144867,2021-02-27
,0,0,14,25,45,6,70144867,2021-02-27
,0,0,15,25,45,6,70144867,2021-02-27
,0,0,16,25,45,6,70144867,2021-02-27
,0,0,17,25,45,6,70144867,2021-02-27
,0,0,18,25,45,6,70144867,2021-02-27
,0,0,19,25,45,6,70144867,2021-02-27
,0,0,20,25,45,6,70144867,2021-02-27
,0,0,21,25,45,6,70144867,2021-02-27
,0,0,22,25,45,6,70144867,2021-02-27
,14,0,23,25,45,6,70144867,2021-02-27
,0,0,9,25,45,6,70164628,2021-02-27
,0,0,10,25,45,6,70164628,2021-02-27
,0,0,11,25,45,6,70164628,2021-02-27
,0,0,12,25,45,6,70164628,2021-02-27
,0,0,13,25,45,6,70164628,2021-02-27
,0,0,14,25,45,6,70164628,2021-02-27
,0,0,15,25,45,6,70164628,2021-02-27
,0,0,16,25,45,6,70164628,2021-02-27
,0,0,17,25,45,6,70164628,2021-02-27
,0,0,18,25,45,6,70164628,2021-02-27
,0,0,19,25,45,6,70164628,2021-02-27
,0,0,20,25,45,6,70164628,2021-02-27
,22,0,23,25,45,6,70164628,2021-02-27
,0,0,9,25,45,6,70164590,2021-02-27
,0,0,10,25,45,6,70164590,2021-02-27
,0,0,11,25,45,6,70164590,2021-02-27
,0,0,12,25,45,6,70164590,2021-02-27
,0,0,13,25,45,6,70164590,2021-02-27
,0,0,14,25,45,6,70164590,2021-02-27
,0,0,15,25,45,6,70164590,2021-02-27
,0,0,16,25,45,6,70164590,2021-02-27
,0,0,17,25,45,6,70164590,2021-02-27
,0,0,18,25,45,6,70164590,2021-02-27
,0,0,19,25,45,6,70164590,2021-02-27
,0,0,20,25,45,6,70164590,2021-02-27
,41,0,23,25,45,6,70164590,2021-02-27
,0,0,9,25,45,6,70164653,2021-02-27
,0,0,10,25,45,6,70164653,2021-02-27
,0,0,11,25,45,6,70164653,2021-02-27
,0,0,12,25,45,6,70164653,2021-02-27
,0,0,13,25,45,6,70164653,2021-02-27
,0,0,14,25,45,6,70164653,2021-02-27
,0,0,15,25,45,6,70164653,2021-02-27
,0,0,16,25,45,6,70164653,2021-02-27
,0,0,17,25,45,6,70164653,2021-02-27
,0,0,18,25,45,6,70164653,2021-02-27
,0,0,19,25,45,6,70164653,2021-02-27
,0,0,20,25,45,6,70164653,2021-02-27
,15,0,23,25,45,6,70164653,2021-02-27
,0,0,9,25,45,6,70164415,2021-02-27
,0,0,10,25,45,6,70164415,2021-02-27
,0,0,11,25,45,6,70164415,2021-02-27
,0,0,12,25,45,6,70164415,2021-02-27
,0,0,13,25,45,6,70164415,2021-02-27
,0,0,14,25,45,6,70164415,2021-02-27
,0,0,15,25,45,6,70164415,2021-02-27
,0,0,16,25,45,6,70164415,2021-02-27
,0,0,17,25,45,6,70164415,2021-02-27
,0,0,18,25,45,6,70164415,2021-02-27
